"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Delhi Capitals","Punjab Kings",120,121,"Punjab Kings","Field","Punjab Kings","5 wickets","Harmeet Singh","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Mumbai Indians",159,162,"Kolkata Knight Riders","Bat","Mumbai Indians","5 wickets","Dwayne Smith","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Chennai Super Kings",159,160,"Sunrisers Hyderabad","Bat","Chennai Super Kings","5 wickets","MS Dhoni","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Punjab Kings","Kolkata Knight Riders",149,150,"Punjab Kings","Bat","Kolkata Knight Riders","6 wickets","Jacques Kallis","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Rajasthan Royals",144,146,"Sunrisers Hyderabad","Bat","Rajasthan Royals","8 wickets","James Faulkner","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Mumbai Indians","Royal Challengers Bangalore",194,136,"Mumbai Indians","Bat","Mumbai Indians","58 runs","Dwayne Smith","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Kolkata Knight Riders",200,186,"Kolkata Knight Riders","Field","Chennai Super Kings","14 runs","Michael Hussey","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Delhi Capitals","Pune Warriors",164,149,"Pune Warriors","Field","Delhi Capitals","15 runs","David Warner","Shaheed Veer Narayan Singh International Stadium","Raipur","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",171,173,"Rajasthan Royals","Field","Rajasthan Royals","4 wickets","Sanju Samson","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Mumbai Indians","Punjab Kings",174,170,"Mumbai Indians","Bat","Mumbai Indians","4 runs","Rohit Sharma","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Pune Warriors",164,127,"Chennai Super Kings","Bat","Chennai Super Kings","37 runs","MS Dhoni","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Mumbai Indians","Sunrisers Hyderabad",129,130,"Mumbai Indians","Bat","Sunrisers Hyderabad","7 wickets","Ishant Sharma","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Kolkata Knight Riders","Delhi Capitals",136,137,"Kolkata Knight Riders","Bat","Delhi Capitals","7 wickets","David Warner","Shaheed Veer Narayan Singh International Stadium","Raipur","Neutral"
"Chennai Super Kings","Punjab Kings",186,171,"Chennai Super Kings","Bat","Chennai Super Kings","15 runs","Suresh Raina","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Royal Challengers Bangalore","Pune Warriors",187,170,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","17 runs","AB de Villiers","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Rajasthan Royals","Kolkata Knight Riders",132,133,"Rajasthan Royals","Bat","Kolkata Knight Riders","8 wickets","Yusuf Pathan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Sunrisers Hyderabad",80,81,"Delhi Capitals","Bat","Sunrisers Hyderabad","6 wickets","Daren Sammy","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Chennai Super Kings",139,79,"Mumbai Indians","Bat","Mumbai Indians","60 runs","Mitchell Johnson","Wankhede Stadium","Mumbai","Mumbai Indians"
"Pune Warriors","Rajasthan Royals",178,182,"Pune Warriors","Bat","Rajasthan Royals","5 wickets","Ajinkya Rahane","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Punjab Kings",190,194,"Punjab Kings","Field","Punjab Kings","6 wickets","David Miller","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Delhi Capitals","Rajasthan Royals",154,155,"Delhi Capitals","Bat","Rajasthan Royals","9 wickets","Ajinkya Rahane","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Mumbai Indians","Kolkata Knight Riders",170,105,"Mumbai Indians","Bat","Mumbai Indians","65 runs","Sachin Tendulkar","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Sunrisers Hyderabad",223,146,"Sunrisers Hyderabad","Field","Chennai Super Kings","77 runs","Suresh Raina","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Rajasthan Royals",145,147,"Rajasthan Royals","Field","Rajasthan Royals","8 wickets","Kevon Cooper","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Pune Warriors",152,106,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","46 runs","Gautam Gambhir","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Royal Challengers Bangalore","Delhi Capitals",183,179,"Delhi Capitals","Field","Royal Challengers Bangalore","4 runs","Jaydev Unadkat","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Pune Warriors","Mumbai Indians",112,116,"Pune Warriors","Bat","Mumbai Indians","5 wickets","Mitchell Johnson","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Sunrisers Hyderabad","Punjab Kings",150,120,"Punjab Kings","Field","Sunrisers Hyderabad","30 runs","Parthiv Patel","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Kolkata Knight Riders",115,116,"Kolkata Knight Riders","Field","Kolkata Knight Riders","5 wickets","Jacques Kallis","JSCA International Stadium Complex","Ranchi","Neutral"
"Chennai Super Kings","Rajasthan Royals",141,144,"Rajasthan Royals","Field","Rajasthan Royals","5 wickets","Shane Watson","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Mumbai Indians",178,184,"Sunrisers Hyderabad","Bat","Mumbai Indians","7 wickets","Kieron Pollard","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Punjab Kings",174,176,"Punjab Kings","Field","Punjab Kings","7 wickets","Adam Gilchrist","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Delhi Capitals",168,135,"Chennai Super Kings","Bat","Chennai Super Kings","33 runs","MS Dhoni","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Pune Warriors","Kolkata Knight Riders",170,163,"Kolkata Knight Riders","Field","Pune Warriors","7 runs","Manish Pandey","JSCA International Stadium Complex","Ranchi","Neutral"
"Mumbai Indians","Rajasthan Royals",166,152,"Rajasthan Royals","Field","Mumbai Indians","14 runs","Aditya Tare","Wankhede Stadium","Mumbai","Mumbai Indians"
