"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Sunrisers Hyderabad","Royal Challengers Bangalore",132,123,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","9 runs","Dale Steyn","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Rajasthan Royals","Mumbai Indians",162,163,"Rajasthan Royals","Bat","Mumbai Indians","10 wickets","Dwayne Smith","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Kolkata Knight Riders","Delhi Capitals",162,144,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","18 runs","Yusuf Pathan","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Chennai Super Kings","Mumbai Indians",187,149,"Mumbai Indians","Field","Chennai Super Kings","38 runs","MS Dhoni","M Chinnaswamy Stadium","Bangalore","Neutral"
"Chennai Super Kings","Delhi Capitals",222,136,"Delhi Capitals","Field","Chennai Super Kings","86 runs","Murali Vijay","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Chennai Super Kings","Kolkata Knight Riders",190,192,"Chennai Super Kings","Bat","Kolkata Knight Riders","5 wickets","Manvinder  Bisla","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Chennai Super Kings","Kolkata Knight Riders",153,151,"Chennai Super Kings","Bat","Chennai Super Kings","2 runs","Srikkanth Anirudha","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Rajasthan Royals",137,141,"Rajasthan Royals","Field","Rajasthan Royals","8 wickets","Siddharth Trivedi","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Kochi Tuskers Kerala","Royal Challengers Bangalore",161,162,"Kochi Tuskers Kerala","Bat","Royal Challengers Bangalore","6 wickets","AB de Villiers","Nehru Stadium","Kochi","Kochi Tuskers Kerala"
"Delhi Capitals","Mumbai Indians",95,99,"Delhi Capitals","Bat","Mumbai Indians","8 wickets","Lasith Malinga","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Pune Warriors",112,113,"Punjab Kings","Bat","Pune Warriors","7 wickets","Shrikant Wagh","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",163,154,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","9 runs","Jacques Kallis","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Rajasthan Royals",151,152,"Delhi Capitals","Bat","Rajasthan Royals","6 wickets","Shane Warne","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Mumbai Indians",140,143,"Mumbai Indians","Field","Mumbai Indians","9 wickets","Sachin Tendulkar","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Punjab Kings",188,193,"Punjab Kings","Field","Punjab Kings","6 wickets","Paul Valthaty","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kochi Tuskers Kerala","Pune Warriors",148,151,"Kochi Tuskers Kerala","Bat","Pune Warriors","4 wickets","Mohnish  Mishra","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",175,142,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","33 runs","Dale Steyn","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Rajasthan Royals","Kolkata Knight Riders",159,160,"Kolkata Knight Riders","Field","Kolkata Knight Riders","9 wickets","Gautam Gambhir","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Mumbai Indians","Kochi Tuskers Kerala",182,184,"Kochi Tuskers Kerala","Field","Kochi Tuskers Kerala","8 wickets","Brendon McCullum","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Royal Challengers Bangalore",183,162,"Chennai Super Kings","Bat","Chennai Super Kings","21 runs","Michael Hussey","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Punjab Kings",165,166,"Punjab Kings","Field","Punjab Kings","8 wickets","Paul Valthaty","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Pune Warriors","Delhi Capitals",187,190,"Delhi Capitals","Field","Delhi Capitals","3 wickets","Yuvraj Singh","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",81,85,"Kolkata Knight Riders","Field","Kolkata Knight Riders","8 wickets","Lakshmipathy Balaji","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Delhi Capitals",168,152,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","16 runs","Sunny Sohal","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Pune Warriors","Mumbai Indians",118,124,"Pune Warriors","Bat","Mumbai Indians","7 wickets","Munaf Patel","Wankhede Stadium","Mumbai","Mumbai Indians"
"Kochi Tuskers Kerala","Kolkata Knight Riders",132,126,"Kolkata Knight Riders","Field","Kochi Tuskers Kerala","6 runs","Mahela Jayawardene","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Rajasthan Royals",195,147,"Rajasthan Royals","Field","Punjab Kings","48 runs","Shaun Marsh","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",171,175,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","9 wickets","Chris Gayle","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Chennai Super Kings",164,156,"Chennai Super Kings","Field","Mumbai Indians","8 runs","Harbhajan Singh","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Punjab Kings",231,202,"Punjab Kings","Field","Delhi Capitals","29 runs","David Warner","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Sunrisers Hyderabad",172,135,"Sunrisers Hyderabad","Field","Mumbai Indians","37 runs","Lasith Malinga","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Kochi Tuskers Kerala","Rajasthan Royals",109,111,"Rajasthan Royals","Field","Rajasthan Royals","8 wickets","Shane Warne","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Chennai Super Kings","Pune Warriors",142,117,"Pune Warriors","Field","Chennai Super Kings","25 runs","Michael Hussey","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Delhi Capitals","Royal Challengers Bangalore",160,161,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","3 wickets","Virat Kohli","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Pune Warriors","Chennai Super Kings",141,145,"Pune Warriors","Bat","Chennai Super Kings","8 wickets","Doug Bollinger","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Sunrisers Hyderabad","Kochi Tuskers Kerala",129,74,"Kochi Tuskers Kerala","Field","Sunrisers Hyderabad","55 runs","Ishant Sharma","Nehru Stadium","Kochi","Kochi Tuskers Kerala"
"Kolkata Knight Riders","Delhi Capitals",148,131,"Delhi Capitals","Field","Kolkata Knight Riders","17 runs","Manoj Tiwary","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Rajasthan Royals",94,95,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Johan Botha","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Pune Warriors",181,155,"Pune Warriors","Field","Royal Challengers Bangalore","26 runs","Virat Kohli","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Kochi Tuskers Kerala",157,119,"Delhi Capitals","Bat","Delhi Capitals","38 runs","Virender Sehwag","Nehru Stadium","Kochi","Kochi Tuskers Kerala"
"Punjab Kings","Kolkata Knight Riders",119,120,"Kolkata Knight Riders","Field","Kolkata Knight Riders","8 wickets","Iqbal Abdulla","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Pune Warriors","Rajasthan Royals",143,144,"Rajasthan Royals","Field","Rajasthan Royals","6 wickets","Ross Taylor","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Chennai Super Kings","Sunrisers Hyderabad",165,146,"Chennai Super Kings","Bat","Chennai Super Kings","19 runs","Albie Morkel","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Mumbai Indians","Punjab Kings",159,136,"Punjab Kings","Field","Mumbai Indians","23 runs","Kieron Pollard","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Kochi Tuskers Kerala",140,141,"Kochi Tuskers Kerala","Field","Kochi Tuskers Kerala","7 wickets","Prasanth Parameswaran","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Sunrisers Hyderabad",169,149,"Sunrisers Hyderabad","Field","Kolkata Knight Riders","20 runs","Yusuf Pathan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Rajasthan Royals","Chennai Super Kings",147,149,"Rajasthan Royals","Bat","Chennai Super Kings","8 wickets","Michael Hussey","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Mumbai Indians","Pune Warriors",160,139,"Pune Warriors","Field","Mumbai Indians","21 runs","Rahul Sharma","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Kochi Tuskers Kerala","Kolkata Knight Riders",156,139,"Kolkata Knight Riders","Field","Kochi Tuskers Kerala","17 runs","Brad Hodge","Nehru Stadium","Kochi","Kochi Tuskers Kerala"
"Sunrisers Hyderabad","Delhi Capitals",175,179,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Virender Sehwag","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Punjab Kings",205,120,"Punjab Kings","Field","Royal Challengers Bangalore","85 runs","Chris Gayle","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Kolkata Knight Riders",114,61,"Chennai Super Kings","Bat","Kolkata Knight Riders","10 runs","Iqbal Abdulla","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Delhi Capitals",178,146,"Delhi Capitals","Field","Mumbai Indians","32 runs","Ambati Rayudu","Wankhede Stadium","Mumbai","Mumbai Indians"
"Kochi Tuskers Kerala","Royal Challengers Bangalore",125,128,"Kochi Tuskers Kerala","Bat","Royal Challengers Bangalore","9 wickets","Chris Gayle","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Punjab Kings","Pune Warriors",119,120,"Punjab Kings","Bat","Pune Warriors","5 wickets","Rahul Sharma","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Chennai Super Kings","Rajasthan Royals",196,133,"Rajasthan Royals","Field","Chennai Super Kings","63 runs","Murali Vijay","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Pune Warriors",136,137,"Sunrisers Hyderabad","Bat","Pune Warriors","6 wickets","Mitchell Marsh","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Mumbai Indians",163,87,"Mumbai Indians","Field","Punjab Kings","76 runs","Bhargav Bhatt","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",146,151,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","9 wickets","Sreenath Aravind","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Chennai Super Kings","Delhi Capitals",176,158,"Chennai Super Kings","Bat","Chennai Super Kings","18 runs","MS Dhoni","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kochi Tuskers Kerala","Punjab Kings",178,181,"Punjab Kings","Field","Punjab Kings","6 wickets","Dinesh Karthik","Holkar Cricket Stadium","Indore","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",135,125,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","10 runs","Amit Mishra","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Delhi Capitals",170,141,"Delhi Capitals","Field","Punjab Kings","29 runs","Piyush Chawla","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Rajasthan Royals","Kochi Tuskers Kerala",97,98,"Kochi Tuskers Kerala","Field","Kochi Tuskers Kerala","8 wickets","Brad Hodge","Holkar Cricket Stadium","Indore","Neutral"
"Pune Warriors","Sunrisers Hyderabad",136,138,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","6 wickets","Amit Mishra","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Punjab Kings","Royal Challengers Bangalore",232,121,"Punjab Kings","Bat","Punjab Kings","111 runs","Adam Gilchrist","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Chennai Super Kings","Kochi Tuskers Kerala",152,141,"Chennai Super Kings","Bat","Chennai Super Kings","11 runs","Wriddhiman Saha","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Pune Warriors","Kolkata Knight Riders",118,119,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Yusuf Pathan","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Mumbai Indians","Rajasthan Royals",133,134,"Mumbai Indians","Bat","Rajasthan Royals","10 wickets","Shane Watson","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Punjab Kings",198,116,"Punjab Kings","Field","Sunrisers Hyderabad","82 runs","Shikhar Dhawan","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",128,129,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","8 wickets","Chris Gayle","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Kolkata Knight Riders","Mumbai Indians",175,178,"Mumbai Indians","Field","Mumbai Indians","5 wickets","James Franklin","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Royal Challengers Bangalore","Chennai Super Kings",175,177,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Suresh Raina","Wankhede Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Mumbai Indians",147,148,"Mumbai Indians","Field","Mumbai Indians","4 wickets","Munaf Patel","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Mumbai Indians",185,142,"Mumbai Indians","Field","Royal Challengers Bangalore","43 runs","Chris Gayle","MA Chidambaram Stadium","Chennai","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",205,147,"Chennai Super Kings","Bat","Chennai Super Kings","58 runs","Murali Vijay","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kolkata Knight Riders","Sunrisers Hyderabad",161,150,"Sunrisers Hyderabad","Field","Kolkata Knight Riders","11 runs","Angelo Mathews","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Mumbai Indians","Rajasthan Royals",212,208,"Mumbai Indians","Bat","Mumbai Indians","4 runs","Yusuf Pathan","Brabourne Stadium","Mumbai","Neutral"
"Punjab Kings","Delhi Capitals",142,146,"Delhi Capitals","Field","Delhi Capitals","5 wickets","Gautam Gambhir","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Kolkata Knight Riders",135,136,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Manoj Tiwary","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Chennai Super Kings",190,159,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","31 runs","Chaminda Vaas","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Rajasthan Royals","Delhi Capitals",141,142,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Virender Sehwag","Narendra Modi Stadium","Ahmedabad","Neutral"
"Punjab Kings","Royal Challengers Bangalore",203,204,"Punjab Kings","Bat","Royal Challengers Bangalore","8 wickets","Jacques Kallis","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Kolkata Knight Riders",164,109,"Chennai Super Kings","Bat","Chennai Super Kings","55 runs","MS Dhoni","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Delhi Capitals",218,120,"Delhi Capitals","Field","Mumbai Indians","98 runs","Sachin Tendulkar","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rajasthan Royals","Royal Challengers Bangalore",92,93,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","10 wickets","Jacques Kallis","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Chennai Super Kings",185,190,"Delhi Capitals","Bat","Chennai Super Kings","5 wickets","Matthew Hayden","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Punjab Kings",170,164,"Punjab Kings","Field","Sunrisers Hyderabad","6 runs","Andrew Symonds","Barabati Stadium","Cuttack","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",168,134,"Rajasthan Royals","Bat","Rajasthan Royals","34 runs","Abhishek Jhunjhunwala","Narendra Modi Stadium","Ahmedabad","Neutral"
"Mumbai Indians","Royal Challengers Bangalore",151,155,"Mumbai Indians","Bat","Royal Challengers Bangalore","7 wickets","Jacques Kallis","Brabourne Stadium","Mumbai","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",171,161,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","10 runs","Andrew Symonds","Barabati Stadium","Cuttack","Neutral"
"Punjab Kings","Chennai Super Kings",136,136,"Chennai Super Kings","Field","Tied","Tied","Rusty Theron","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kolkata Knight Riders","Mumbai Indians",155,156,"Kolkata Knight Riders","Bat","Mumbai Indians","7 wickets","Sachin Tendulkar","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",171,135,"Chennai Super Kings","Field","Royal Challengers Bangalore","36 runs","Robin Uthappa","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rajasthan Royals","Punjab Kings",183,152,"Punjab Kings","Field","Rajasthan Royals","31 runs","Adam Voges","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Delhi Capitals","Royal Challengers Bangalore",183,166,"Royal Challengers Bangalore","Field","Delhi Capitals","17 runs","Kedar Jadhav","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Mumbai Indians",180,181,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Sachin Tendulkar","Brabourne Stadium","Mumbai","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",148,151,"Sunrisers Hyderabad","Bat","Rajasthan Royals","8 wickets","Yusuf Pathan","Narendra Modi Stadium","Ahmedabad","Neutral"
"Kolkata Knight Riders","Punjab Kings",183,144,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","39 runs","Manoj Tiwary","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Chennai Super Kings",177,160,"Rajasthan Royals","Bat","Rajasthan Royals","17 runs","Naman Ojha","Narendra Modi Stadium","Ahmedabad","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",172,131,"Sunrisers Hyderabad","Field","Mumbai Indians","41 runs","Harbhajan Singh","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Delhi Capitals","Kolkata Knight Riders",177,137,"Delhi Capitals","Bat","Delhi Capitals","40 runs","David Warner","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Mumbai Indians",163,164,"Mumbai Indians","Field","Mumbai Indians","4 wickets","Lasith Malinga","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",161,162,"Royal Challengers Bangalore","Bat","Chennai Super Kings","5 wickets","Murali Vijay","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Delhi Capitals","Rajasthan Royals",188,121,"Delhi Capitals","Bat","Delhi Capitals","67 runs","Dinesh Karthik","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Sunrisers Hyderabad",181,157,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","24 runs","Sourav Ganguly","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Royal Challengers Bangalore",181,184,"Punjab Kings","Bat","Royal Challengers Bangalore","6 wickets","Kevin Pietersen","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Chennai Super Kings","Rajasthan Royals",246,223,"Chennai Super Kings","Bat","Chennai Super Kings","23 runs","Murali Vijay","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Mumbai Indians","Sunrisers Hyderabad",178,115,"Mumbai Indians","Bat","Mumbai Indians","63 runs","Ambati Rayudu","Brabourne Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Punjab Kings",200,204,"Kolkata Knight Riders","Bat","Punjab Kings","8 wickets","Mahela Jayawardene","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Royal Challengers Bangalore",184,147,"Delhi Capitals","Bat","Delhi Capitals","37 runs","Paul Collingwood","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rajasthan Royals","Sunrisers Hyderabad",159,157,"Rajasthan Royals","Bat","Rajasthan Royals","2 runs","Shane Warne","Vidarbha Cricket Association Stadium","Jamtha","Neutral"
"Chennai Super Kings","Mumbai Indians",165,141,"Chennai Super Kings","Bat","Chennai Super Kings","24 runs","Suresh Raina","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Punjab Kings","Rajasthan Royals",153,157,"Punjab Kings","Bat","Rajasthan Royals","9 wickets","Michael Lumb","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Kolkata Knight Riders","Delhi Capitals",181,167,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","14 runs","Sourav Ganguly","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Royal Challengers Bangalore","Sunrisers Hyderabad",184,186,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","7 wickets","Tirumalasetti Suman","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Mumbai Indians","Punjab Kings",154,158,"Mumbai Indians","Bat","Punjab Kings","6 wickets","Kumar Sangakkara","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",138,139,"Chennai Super Kings","Bat","Sunrisers Hyderabad","6 wickets","Ryan Harris","Vidarbha Cricket Association Stadium","Jamtha","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",160,162,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","7 wickets","Vinay Kumar","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Punjab Kings",111,112,"Delhi Capitals","Bat","Punjab Kings","7 wickets","Piyush Chawla","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Rajasthan Royals",174,137,"Rajasthan Royals","Field","Mumbai Indians","37 runs","Sachin Tendulkar","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Royal Challengers Bangalore",151,138,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","13 runs","Harmeet Singh","Vidarbha Cricket Association Stadium","Jamtha","Neutral"
"Mumbai Indians","Delhi Capitals",183,144,"Mumbai Indians","Bat","Mumbai Indians","39 runs","Kieron Pollard","Brabourne Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Chennai Super Kings",139,143,"Kolkata Knight Riders","Bat","Chennai Super Kings","9 wickets","Ravichandran Ashwin","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Rajasthan Royals","Royal Challengers Bangalore",130,132,"Rajasthan Royals","Bat","Royal Challengers Bangalore","5 wickets","Kevin Pietersen","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Chennai Super Kings","Delhi Capitals",112,113,"Chennai Super Kings","Bat","Delhi Capitals","6 wickets","Gautam Gambhir","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Punjab Kings","Sunrisers Hyderabad",174,178,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","5 wickets","Rohit Sharma","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Mumbai Indians","Royal Challengers Bangalore",191,134,"Royal Challengers Bangalore","Field","Mumbai Indians","57 runs","Ryan McLaren","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rajasthan Royals","Kolkata Knight Riders",132,133,"Rajasthan Royals","Bat","Kolkata Knight Riders","8 wickets","Jaydev Unadkat","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Chennai Super Kings",192,195,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","MS Dhoni","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",145,134,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","11 runs","Andrew Symonds","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Kolkata Knight Riders",133,135,"Mumbai Indians","Bat","Kolkata Knight Riders","9 wickets","Murali Kartik","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Royal Challengers Bangalore",184,149,"Mumbai Indians","Bat","Mumbai Indians","35 runs","Kieron Pollard","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",142,104,"Chennai Super Kings","Bat","Chennai Super Kings","38 runs","Doug Bollinger","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",82,86,"Sunrisers Hyderabad","Bat","Royal Challengers Bangalore","9 wickets","Anil Kumble","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Mumbai Indians",168,146,"Chennai Super Kings","Bat","Chennai Super Kings","22 runs","Suresh Raina","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Mumbai Indians","Chennai Super Kings",165,146,"Chennai Super Kings","Field","Mumbai Indians","19 runs","Sachin Tendulkar","Newlands","Cape Town","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",133,58,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","75 runs","Rahul Dravid","Newlands","Cape Town","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",101,104,"Kolkata Knight Riders","Bat","Sunrisers Hyderabad","8 wickets","RP Singh","Newlands","Cape Town","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",179,87,"Chennai Super Kings","Bat","Chennai Super Kings","92 runs","Muthiah Muralidaran","St George's Park","Port Elizabeth","Neutral"
"Punjab Kings","Kolkata Knight Riders",158,79,"Kolkata Knight Riders","Field","Kolkata Knight Riders","11 runs","Chris Gayle","Kingsmead","Durban","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",184,160,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","24 runs","Adam Gilchrist","Newlands","Cape Town","Neutral"
"Delhi Capitals","Chennai Super Kings",189,180,"Delhi Capitals","Bat","Delhi Capitals","9 runs","AB de Villiers","Kingsmead","Durban","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",150,150,"Kolkata Knight Riders","Field","Tied","Tied","Yusuf Pathan","Newlands","Cape Town","Neutral"
"Royal Challengers Bangalore","Punjab Kings",168,173,"Royal Challengers Bangalore","Bat","Punjab Kings","7 wickets","Ravi Bopara","Kingsmead","Durban","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",168,156,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","12 runs","Pragyan Ojha","Kingsmead","Durban","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",149,150,"Royal Challengers Bangalore","Bat","Delhi Capitals","6 wickets","Tillakaratne Dilshan","St George's Park","Port Elizabeth","Neutral"
